Date	Release	Version	Type	Description
04/09/2024	R2024b	1.80	Infraestrutura	"Atualizado ambiente de desenvolvimento do MATLAB de R2023a para R2024a."
04/09/2024	R2024b	1.80	Infraestrutura	"App agora possui versão webapp, além da versão desktop."
04/09/2024	R2024b	1.80	Evolução	"Criada tela inicial que destaca funcionalidades acessíveis, notas dos <i>releases</i> e a possibilidade de abrir o app em ""modo de simulação"". Neste modo, o app já carrega arquivos de referência gerados pelo appColeta (Drive-test), RFEye e CellWireless."
04/09/2024	R2024b	1.80	Evolução	"O modo EDIÇÃO DE FLUXOS não mais existe. As suas funcionalidades foram migradas para o modo MISCELÂNEAS."
04/09/2024	R2024b	1.80	Evolução	"Os modos auxiliares - DRIVE-TEST, ANÁLISE DE SINAIS, RFDATAHUB etc - podem ser abertos na janela principal do appAnalise (modo de operação DOCK) ou em janela própria (modo UNDOCK, mas restrito à versão desktop)."
04/09/2024	R2024b	1.80	Evolução	"O modo PLAYBACK, por meio do painel CANAIS, agora possibilita plot de canalização, importação de canalização a partir de arquivos, inclusão de canais como emissões (a partir do menu de contexto) etc."
04/09/2024	R2024b	1.80	Evolução	"O modo PLAYBACK, por meio do painel EMISSÕES, agora disponibiliza arquivos modelos usados na importação de emissões."
04/09/2024	R2024b	1.80	Evolução	"O módulo auxiliar ANÁLISE DE SINAIS agora apresenta o enlace entre o provável emissor e o local da monitoração, com indicação de obstrução da 1ª Zona de Fresnel."
04/09/2024	R2024b	1.80	Evolução	"O módulo auxiliar RFDATAHUB agora possibilita edição da estação transmissora, além da receptora, para fins de visualização em mapa e enlace."
04/09/2024	R2024b	1.80	Evolução	"O módulo auxiliar DRIVE-TEST agora possibilita importação de contorno a partir de arquivos .KML ou .KMZ, aplicando-o como filtro geográfico."
04/09/2024	R2024b	1.80	Evolução	"O módulo auxiliar DRIVE-TEST agora apresenta o plot do canal (persistência e waterfall), além do plot em mapa, possuindo um playback próprio."
04/09/2024	R2024b	1.80	Evolução	"O módulo auxiliar DRIVE-TEST agora possibilita a exportação da análise em arquivo .KML."
10/07/2024	R2024a	1.67	BUG	"Corrigido BUG na mesclagem de fluxos espectrais."
07/06/2024	R2024a	1.66	Evolução	"Adaptação do leitor de arquivos gerados pelo CellWireless para atender funcionalidades trazidas pela nova versão de firmware das estações da CellPlan."
07/06/2024	R2024a	1.66	BUG	"Corrigido BUG na geração do relatório, o qual se manifestava quando um fluxo sob análise era mesclado (com outro) posteriormente à sua inclusão no projeto."
07/06/2024	R2024a	1.66	BUG	"Eliminada possibilidade de salvar arquivos .MAT comprimidos por ter sido evidenciado que arquivos .MAT grandes (alguns gigas) podem ser instáveis no salvamento e carregamento."
21/05/2024	R2024a	1.65	BUG	"Corrigido BUG na leitura de arquivo gerado pelo Logger, da sua v. 1. O MATLAB não identificou automaticamente o formato de data/hora."
07/05/2024	R2024a	1.64	BUG	"Corrigido BUG na leitura de arquivos binários gerados pelo appColeta, e na geração de relatórios."
29/03/2024	R2024a	1.63	BUG	"Corrigido BUG na leitura de arquivos binários gerados pelo appColeta."
25/03/2024	R2024a	1.62	BUG	"Corrigido BUG na geração do relatório, substituindo false por ""false"" no código HTML."
08/03/2024	R2024a	1.59	BUG	"Corrigido BUG no módulo auxiliar ANÁLISE DE SINAIS."
08/03/2024	R2024a	1.59	Evolução	"Implementada abertura do módulo RFDATAHUB a partir do módulo ANÁLISE DE SINAIS, simulando enlace."
22/02/2024	R2024a	1.58	BUG	"Corrigido BUG na leitura de arquivos binários gerados pelo CellWireless."
19/02/2024	R2024a	1.57	BUG	"Corrigido BUG na leitura de arquivos binários gerados pelo CellWireless e no módulo RFDATAHUB."
16/02/2024	R2024a	1.56	Evolução	"Ícone na janela do plot (no modo relatório), reescrita da árvore de emissões, quando fechado o módulo auxiliar DRIVE-TEST, atualizando as emissões com ""(DT)"". Além disso, eliminação de função local ""img2base64"", referenciando função interna do MATLAB."
08/02/2024	R2024a	1.55	Evolução	"Adaptado ccTools.Button."
08/02/2024	R2024a	1.54	BUG	"Corrigido BUG na classificação de emissões, que retornava erro para faixas não canalizadas por falta das características padrão do FindPeaks."
02/02/2024	R2024a	1.53	BUG	"Corrigido BUG no BasemapPicker, presente nos eixos geográficos dos módulos auxiliares DRIVE-TEST e RFDATAHUB."
30/01/2024	R2024a	1.52	BUG	"Corrigido BUG no leitor do RFlookBinV1."
26/01/2024	R2024a	1.51	Evolução	"Integrado o plot na janela principal de controle do app."
26/01/2024	R2024a	1.51	Evolução	"Adicionado possibilidade de visualizar o perfil de terreno entre um registro do RFDataHub (TX) e uma estação receptora (RX), incluindo a 1ª Zona de Fresnel e Relatório de Canal para as estações de radiodifusão."
26/01/2024	R2024a	1.51	Evolução	"Análise customizada por emissão, no módulo auxiliar DRIVE-TEST."
14/11/2023	R2022c	1.39	BUG	"Corrigido BUG no leitor do RFlookBinV2 que impedia a visualização da informação espectral em mapa (no módulo auxiliar DRIVE-TEST)."
12/11/2023	R2022c	1.38	BUG	"Implementada lógica, na leitura de arquivos binários gerados pelo appColetaV2, que possibilita a interpolação/extrapolação de coordenadas geográficas que não foram devidamente aferidas, possibilitando que a relação de varreduras e coordenadas seja 1:1."
12/11/2023	R2022c	1.38	BUG	"Limitada abertura de uma única janela do módulo auxiliar DRIVE-TEST."
31/10/2023	R2022c	1.37	BUG	"Corrigido BUG na leitura de arquivos binários gerados pelo appColeta."
31/10/2023	R2022c	1.37	BUG	"Corrigido BUG na abertura de um arquivo de projeto."
31/10/2023	R2022c	1.37	BUG	"Corrigido BUG na inclusão de uma emissão por ROI, no modo PLAYBACK."
28/06/2023	R2022c	1.36	BUG	"Corrigido BUG que se manifestava quando da tentativa de realização de prévia de relatório de informação gerada pela CellPlan."
28/06/2023	R2022c	1.35	Evolução	"Possibilidade de editar manualmente a informação da localidade, não alterando as coordenadas geográficas do local da monitoração."
28/06/2023	R2022c	1.35	Evolução	"Possibilidade de alterar o passo de truncamento de frequência para fins de comparação com o anateldb (o valor padrão é 25 kHz)."
28/06/2023	R2022c	1.35	Evolução	"Possibilidade de gerar arquivo no formato JSON com informações das emissões, no módulo ANÁLISE DE SINAIS."
28/06/2023	R2022c	1.35	Evolução	"Emissão constante na lista global de exceções agora é classificada como ""Não passível de licenciamento"" (ao invés de ""Não licenciada"")."
28/06/2023	R2022c	1.35	BUG	"Corrigidos BUGs no futuro módulo de consulta ao anateldb (em homologação desde a v. 1.34) relacionados à nova classe de tabela (ccTools.Table).
18/05/2023	R2022c	1.34	Infraestrutura	"Atualizado ambiente de desenvolvimento do MATLAB de R2021b para R2023a."
18/05/2023	R2022c	1.34	Evolução	"Possibilidade de mesclar monitorações contínuas, mas registradas em fluxos diferentes."
18/05/2023	R2022c	1.34	Evolução	"Tela de confirmação de fechamento do app, caso aberto projeto não salvo."
18/05/2023	R2022c	1.34	Evolução	"Registro do path do Python, possibilitando o mapeamento automático."
18/05/2023	R2022c	1.34	Evolução	"Disponibilização para testes das funcionalidades básicas do futuro módulo de consulta ao anateldb."
18/05/2023	R2022c	1.34	BUG	"Corrigidos BUGs no módulo de consulta ao anateldb, os quais impediam a exportação da base (filtrada ou não) em planilha excel, e a análise de dados relacionados a sensores que estejam instalados em locais com coordenadas positivas."
18/05/2023	R2022c	1.34	BUG	"Corrigidos BUGs no app principal, os quais impediam o posicionamento da janela no centro do maior monitor, e a leitura de arquivos ignorando a informação de ""ThreadID""."
09/02/2023	R2022c	1.33	Evolução	"Ajustes pontuais no módulo auxiliar TEMPLATE, disponibilizando os novos modelos de relatórios dos planos de monitoração (PMEC, PMEF e PMRD);"
09/02/2023	R2022c	1.33	Evolução	"Ajustes pontuais no módulo auxiliar ANATELDB, disponibilizando nova extração feita em 02/02/2023."
30/11/2022	R2022c	1.32	Evolução	"Evolução do modo PLAYBACK, implementando o plot de persistência."
30/11/2022	R2022c	1.31	Evolução	"Implantação de leitor de arquivos binários gerados pelo software da CellPlan;"
30/11/2022	R2022c	1.31	Evolução	"Implantação de módulo auxiliar DRIVE-TEST, o qual possibilita tratamento de coletas móveis conduzidas pelo appColeta;"
30/11/2022	R2022c	1.31	Evolução	"Evoluções dos módulos TEMPLATE e ANATELDB."
12/08/2022	R2022b	1.24	BUG	"Corrigido BUG que se manifestava no processo de inclusão de emissões por ROI, ao fechar a tela do plot. (Reporte UO02.1)"
12/08/2022	R2022b	1.24	Evolução	"Criação de módulo de consulta ao anateldb."
12/08/2022	R2022b	1.24	Evolução	"Possibilidade de editar a classificação de uma emissão não só a partir do nº da estação do provável emissor, mas também do ID do registro no anateldb."
18/05/2022	R2022a	1.23	BUG	"Corrigido BUG que impedia correta geração do arquivo JSON, quando editado o provável emissor de alguma emissão (Reporte GR01)"
18/05/2022	R2022a	1.22	BUG	"Corrigido BUG que impedia ajuste de um dos parâmetros do algoritmo de classificação de emissões. (Reporte GR08)"
18/05/2022	R2022a	1.22	BUG	"Corrigido BUG que impedia a geração de relatório quando não fosse identificada ao menos uma emissão. (Reporte GR02)"
17/05/2022	R2022a	1.21	BUG	"Corrigido BUG que impedia a atualização do anateldb. (Reporte GR10)"
17/05/2022	R2022a	1.20	Evolução	"Evolução de leitor de arquivos no formato CRFS Bin."
17/05/2022	R2022a	1.20	Evolução	"Evolução do modo PLAYBACK, migrando o toolbar do plot para a figura do próprio plot."
17/05/2022	R2022a	1.20	Evolução	"Modularização dos processos de aferição da ocupação por bin, detecção e classificação de emissões."
17/05/2022	R2022a	1.20	Evolução	"Evolução do processo de detecção de emissões, caracterizando uma emissão por frequência central e largura ocupada."
17/05/2022	R2022a	1.20	Evolução	"Revisão e evolução dos módulos auxiliares ANÁLISE DE SINAIS, FISCALIZA, CONFIGURAÇÕES e GERAÇÃO DE MÁSCARA."
17/05/2022	R2022a	1.20	Evolução	"Criação do módulo auxiliar TEMPLATE, o qual cria arquivo no formato HTML a partir de JSON."
28/12/2021	R2021b	1.13	Evolução	"Edição do processo de inicialização do app, tornando-a semelhante à do appColeta."
28/12/2021	R2021b	1.13	BUG	"Corrigido BUG na inserção de emissões a partir de datatips."
28/12/2021	R2021b	1.13	BUG	"Corrigido BUG na definição do PATH que se manifestava em uma situação específica quando da sua execução a partir de um atalho. (Reporte UO02.1)."
