Date	Release	Version	Type	Description
05/05/2025	R2024a	1.87	Infraestrutura	"Integração com o SEI por meio de API do eFiscaliza."
04/09/2024	R2024a	1.80	Infraestrutura	"Atualização do MATLAB para R2024a e lançamento da versão webapp."
04/09/2024	R2024a	1.80	Evolução	"Nova tela inicial com destaque de funcionalidades e modo de simulação; migração do modo EDIÇÃO DE FLUXOS para MISCELÂNEAS; modos auxiliares com suporte a operação DOCK/UNDOCK; melhorias no modo PLAYBACK (canalização e modelos de emissões); melhorias nos módulos auxiliares ANÁLISE DE SINAIS, RFDATAHUB e DRIVE-TEST (incluindo suporte a .KML, plot canal e exportação de análise)."
04/09/2024	R2024a	1.80	Evolução	"O modo EDIÇÃO DE FLUXOS não mais existe. As suas funcionalidades foram migradas para o modo MISCELÂNEAS."
10/07/2024	R2023a	1.67	BUG	"Correção na mesclagem de fluxos espectrais."
07/06/2024	R2023a	1.66	Evolução	"Suporte à nova versão de firmware da CellPlan."
07/06/2024	R2023a	1.66	BUG	"Correções na geração de relatório com fluxos mesclados e na manipulação de arquivos .MAT grandes."
21/05/2024	R2023a	1.65	BUG	"Correção na leitura de arquivo do Logger v1 (formato de data/hora)."
07/05/2024	R2023a	1.64	BUG	"Correção na leitura de arquivos do appColeta e na geração de relatórios."
29/03/2024	R2023a	1.63	BUG	"Correção na leitura de arquivos binários do appColeta."
25/03/2024	R2023a	1.62	BUG	"Correção na geração de relatório (uso de false como string no HTML)."
08/03/2024	R2023a	1.59	BUG	"Correção no módulo ANÁLISE DE SINAIS."
08/03/2024	R2023a	1.59	Evolução	"Abertura do RFDATAHUB a partir do módulo ANÁLISE DE SINAIS."
22/02/2024	R2023a	1.58	BUG	"Correção na leitura de arquivos binários do CellWireless."
19/02/2024	R2023a	1.57	BUG	"Correções na leitura de arquivos do CellWireless e no RFDATAHUB."
16/02/2024	R2023a	1.56	Evolução	"Melhorias na árvore de emissões e no relatório (imagem e funções internas)."
08/02/2024	R2023a	1.55	Evolução	"Ajuste no componente ccTools.Button."
08/02/2024	R2023a	1.54	BUG	"Correção na classificação de emissões sem características padrão."
02/02/2024	R2023a	1.53	BUG	"Correção no BasemapPicker dos módulos DRIVE-TEST e RFDATAHUB."
30/01/2024	R2023a	1.52	BUG	"Correção no leitor RFlookBinV1."
